"Kurs";"Tag";"Std";"Woche";"Raum";"Lehrer"
"M-GK2";5;4;3;"--";"--"
"M-GK1";2;4;2;"--";"--"
"M-GK1";2;4;3;"--";"--"
"M-GK1";5;1;2;"--";"--"
"M-GK1";5;1;3;"--";"--"
"M-GK1";5;2;2;"--";"--"
"M-GK1";5;2;3;"--";"--"
"PL-GK2";2;7;2;"--";"--"
"PL-GK2";2;7;3;"--";"--"
"PL-GK2";3;4;2;"--";"--"
"PL-GK2";3;4;3;"--";"--"
"PL-GK2";3;5;2;"--";"--"
"PL-GK2";3;5;3;"--";"--"
"PL-GK1";2;4;2;"--";"--"
"PL-GK1";2;4;3;"--";"--"
"PL-GK1";5;1;2;"--";"--"
"PL-GK1";5;1;3;"--";"--"
"PL-GK1";5;2;2;"--";"--"
"PL-GK1";5;2;3;"--";"--"
"PA-GK2";4;3;2;"--";"--"
"PA-GK2";4;3;3;"--";"--"
"PA-GK2";4;4;2;"--";"--"
"PA-GK2";4;4;3;"--";"--"
"PA-GK2";5;7;2;"--";"--"
"PA-GK2";5;7;3;"--";"--"
"PA-GK1";1;1;2;"--";"--"
"PA-GK1";1;1;3;"--";"--"
"PA-GK1";2;2;2;"--";"--"
"PA-GK1";2;2;3;"--";"--"
"PA-GK1";2;3;2;"--";"--"
"PA-GK1";2;3;3;"--";"--"
"EK-GK3";2;4;2;"--";"--"
"EK-GK3";2;4;3;"--";"--"
"EK-GK3";5;1;2;"--";"--"
"EK-GK3";5;1;3;"--";"--"
"EK-GK3";5;2;2;"--";"--"
"EK-GK3";5;2;3;"--";"--"
"EK-GK2";1;1;2;"--";"--"
"EK-GK2";1;1;3;"--";"--"
"EK-GK2";2;2;2;"--";"--"
"EK-GK2";2;2;3;"--";"--"
"EK-GK2";2;3;2;"--";"--"
"EK-GK2";2;3;3;"--";"--"
"EK-GK1";1;9;2;"--";"--"
"EK-GK1";1;9;3;"--";"--"
"EK-GK1";3;6;2;"--";"--"
"EK-GK1";3;6;3;"--";"--"
"EK-GK1";3;7;2;"--";"--"
"EK-GK1";3;7;3;"--";"--"
"SW-GK4";1;7;2;"--";"--"
"SW-GK4";1;7;3;"--";"--"
"SW-GK4";4;1;2;"--";"--"
"SW-GK4";4;1;3;"--";"--"
"SW-GK4";4;2;2;"--";"--"
"SW-GK4";4;2;3;"--";"--"
"SW-GK3";2;5;2;"--";"--"
"SW-GK3";2;5;3;"--";"--"
"SW-GK3";2;6;2;"--";"--"
"SW-GK3";2;6;3;"--";"--"
"SW-GK3";5;5;2;"--";"--"
"SW-GK3";5;5;3;"--";"--"
"SW-GK2";2;1;2;"--";"--"
"SW-GK2";2;1;3;"--";"--"
"SW-GK2";5;3;2;"--";"--"
"SW-GK2";5;3;3;"--";"--"
"SW-GK2";5;4;2;"--";"--"
"SW-GK2";5;4;3;"--";"--"
"SW-GK1";1;2;2;"--";"--"
"SW-GK1";1;2;3;"--";"--"
"SW-GK1";1;3;2;"--";"--"
"SW-GK1";1;3;3;"--";"--"
"SW-GK1";1;4;2;"--";"--"
"SW-GK1";1;4;3;"--";"--"
"SW-GK1";3;1;2;"--";"--"
"SW-GK1";3;1;3;"--";"--"
"SW-GK1";3;2;2;"--";"--"
"SW-GK1";3;2;3;"--";"--"
"SW-GK1";5;6;2;"--";"--"
"SW-GK1";5;6;3;"--";"--"
"GE-GK3";2;5;2;"--";"--"
"GE-GK3";2;5;3;"--";"--"
"GE-GK3";2;6;2;"--";"--"
"GE-GK3";2;6;3;"--";"--"
"GE-GK3";5;5;2;"--";"--"
"GE-GK3";5;5;3;"--";"--"
"GE-GK2";1;2;2;"--";"--"
"GE-GK2";1;2;3;"--";"--"
"GE-GK2";1;3;2;"--";"--"
"GE-GK2";1;3;3;"--";"--"
"GE-GK2";1;4;2;"--";"--"
"GE-GK2";1;4;3;"--";"--"
"GE-GK2";3;1;2;"--";"--"
"GE-GK2";3;1;3;"--";"--"
"GE-GK2";3;2;2;"--";"--"
"GE-GK2";3;2;3;"--";"--"
"GE-GK2";5;6;2;"--";"--"
"GE-GK2";5;6;3;"--";"--"
"GE-GK1";1;9;2;"--";"--"
"GE-GK1";1;9;3;"--";"--"
"GE-GK1";3;6;2;"--";"--"
"GE-GK1";3;6;3;"--";"--"
"GE-GK1";3;7;2;"--";"--"
"GE-GK1";3;7;3;"--";"--"
"MU-GK1";1;6;2;"--";"--"
"MU-GK1";1;6;3;"--";"--"
"MU-GK1";3;2;2;"--";"--"
"MU-GK1";3;2;3;"--";"--"
"MU-GK1";3;3;2;"--";"--"
"MU-GK1";3;3;3;"--";"--"
"KU-GK4";1;7;2;"--";"--"
"KU-GK4";1;7;3;"--";"--"
"KU-GK4";4;1;2;"--";"--"
"KU-GK4";4;1;3;"--";"--"
"KU-GK4";4;2;2;"--";"--"
"KU-GK4";4;2;3;"--";"--"
"KU-GK3";1;8;2;"--";"--"
"KU-GK3";1;8;3;"--";"--"
"KU-GK3";4;5;2;"--";"--"
"KU-GK3";4;5;3;"--";"--"
"KU-GK3";4;6;2;"--";"--"
"KU-GK3";4;6;3;"--";"--"
"KU-GK2";1;2;2;"--";"--"
"KU-GK2";1;2;3;"--";"--"
"KU-GK2";1;3;2;"--";"--"
"KU-GK2";1;3;3;"--";"--"
"KU-GK2";1;4;2;"--";"--"
"KU-GK2";1;4;3;"--";"--"
"KU-GK2";3;1;2;"--";"--"
"KU-GK2";3;1;3;"--";"--"
"KU-GK2";3;2;2;"--";"--"
"KU-GK2";3;2;3;"--";"--"
"KU-GK2";5;6;2;"--";"--"
"KU-GK2";5;6;3;"--";"--"
"KU-GK1";2;5;2;"--";"--"
"KU-GK1";2;5;3;"--";"--"
"KU-GK1";2;6;2;"--";"--"
"KU-GK1";2;6;3;"--";"--"
"KU-GK1";5;5;2;"--";"--"
"KU-GK1";5;5;3;"--";"--"
"S1-GK2";1;8;2;"--";"--"
"S1-GK2";1;8;3;"--";"--"
"S1-GK2";4;5;2;"--";"--"
"S1-GK2";4;5;3;"--";"--"
"S1-GK2";4;6;2;"--";"--"
"S1-GK2";4;6;3;"--";"--"
"S1-GK1";2;1;2;"--";"--"
"S1-GK1";2;1;3;"--";"--"
"S1-GK1";5;3;2;"--";"--"
"S1-GK1";5;3;3;"--";"--"
"S1-GK1";5;4;2;"--";"--"
"S1-GK1";5;4;3;"--";"--"
"L-GK1";2;4;2;"--";"--"
"L-GK1";2;4;3;"--";"--"
"L-GK1";5;1;2;"--";"--"
"L-GK1";5;1;3;"--";"--"
"L-GK1";5;2;2;"--";"--"
"L-GK1";5;2;3;"--";"--"
"F-GK1";1;4;2;"--";"--"
"F-GK1";1;4;3;"--";"--"
"F-GK1";1;5;2;"--";"--"
"F-GK1";1;5;3;"--";"--"
"F-GK1";3;1;2;"--";"--"
"F-GK1";3;1;3;"--";"--"
"E-GK5";1;7;2;"--";"--"
"E-GK5";1;7;3;"--";"--"
"E-GK5";4;1;2;"--";"--"
"E-GK5";4;1;3;"--";"--"
"E-GK5";4;2;2;"--";"--"
"E-GK5";4;2;3;"--";"--"
"E-GK4";1;4;2;"--";"--"
"E-GK4";1;4;3;"--";"--"
"E-GK4";1;5;2;"--";"--"
"E-GK4";1;5;3;"--";"--"
"E-GK4";3;1;2;"--";"--"
"E-GK4";3;1;3;"--";"--"
"E-GK3";1;6;2;"--";"--"
"E-GK3";1;6;3;"--";"--"
"E-GK3";3;2;2;"--";"--"
"E-GK3";3;2;3;"--";"--"
"E-GK3";3;3;2;"--";"--"
"E-GK3";3;3;3;"--";"--"
"E-GK2";2;5;2;"--";"--"
"E-GK2";2;5;3;"--";"--"
"E-GK2";2;6;2;"--";"--"
"E-GK2";2;6;3;"--";"--"
"E-GK2";5;5;2;"--";"--"
"E-GK2";5;5;3;"--";"--"
"E-GK1";4;3;2;"--";"--"
"E-GK1";4;3;3;"--";"--"
"E-GK1";4;4;2;"--";"--"
"E-GK1";4;4;3;"--";"--"
"E-GK1";5;7;2;"--";"--"
"E-GK1";5;7;3;"--";"--"
"D-GK5";1;1;2;"--";"--"
"D-GK5";1;1;3;"--";"--"
"D-GK5";2;2;2;"--";"--"
"D-GK5";2;2;3;"--";"--"
"D-GK5";2;3;2;"--";"--"
"D-GK5";2;3;3;"--";"--"
"D-GK4";1;6;2;"--";"--"
"D-GK4";1;6;3;"--";"--"
"D-GK4";3;2;2;"--";"--"
"D-GK4";3;2;3;"--";"--"
"D-GK4";3;3;2;"--";"--"
"D-GK4";3;3;3;"--";"--"
"D-GK3";1;9;2;"--";"--"
"D-GK3";1;9;3;"--";"--"
"D-GK3";3;6;2;"--";"--"
"D-GK3";3;6;3;"--";"--"
"D-GK3";3;7;2;"--";"--"
"D-GK3";3;7;3;"--";"--"
"D-GK2";1;4;2;"--";"--"
"D-GK2";1;4;3;"--";"--"
"D-GK2";1;5;2;"--";"--"
"D-GK2";1;5;3;"--";"--"
"D-GK2";3;1;2;"--";"--"
"D-GK2";3;1;3;"--";"--"
"D-GK1";1;8;2;"--";"--"
"D-GK1";1;8;3;"--";"--"
"D-GK1";4;5;2;"--";"--"
"D-GK1";4;5;3;"--";"--"
"D-GK1";4;6;2;"--";"--"
"D-GK1";4;6;3;"--";"--"
