"KursId";"Fach";"Name";"Lehrer";"Std";"Raum";"Kursart";"Schulnummer";"Schienenzahl";"Gesperrt";"Blocken";"ParallelKursZahl";"ParallelKursNr";"FixiertInSchiene"
-50;"CH";"CH-GK1";"--";3;"--";"GK";123456;1;"[]";1;2;1;""
-49;"BI";"BI-GK4";"--";3;"--";"GK";123456;1;"[]";1;4;4;""
-48;"BI";"BI-GK3";"--";3;"--";"GK";123456;1;"[]";1;4;3;""
-47;"BI";"BI-GK2";"--";3;"--";"GK";123456;1;"[]";1;4;2;""
-46;"BI";"BI-GK1";"--";3;"--";"GK";123456;1;"[]";1;4;1;""
-45;"M";"M-GK4";"--";3;"--";"GK";123456;1;"[]";1;4;4;""
-44;"M";"M-GK3";"--";3;"--";"GK";123456;1;"[]";1;4;3;""
-43;"M";"M-GK2";"--";3;"--";"GK";123456;1;"[]";1;4;2;""
-42;"M";"M-GK1";"--";3;"--";"GK";123456;1;"[]";1;4;1;""
-41;"PL";"PL-GK2";"--";3;"--";"GK";123456;1;"[]";1;2;2;""
-40;"PL";"PL-GK1";"--";3;"--";"GK";123456;1;"[]";1;2;1;""
-39;"PA";"PA-GK1";"--";3;"--";"GK";123456;1;"[]";1;1;1;""
-38;"EK";"EK-GK1";"--";3;"--";"GK";123456;1;"[]";1;1;1;""
-37;"SW";"SW-GK3";"--";3;"--";"GK";123456;1;"[]";1;3;3;""
-36;"SW";"SW-GK2";"--";3;"--";"GK";123456;1;"[]";1;3;2;""
-35;"SW";"SW-GK1";"--";3;"--";"GK";123456;1;"[]";1;3;1;""
-34;"GE";"GE-GK2";"--";3;"--";"GK";123456;1;"[]";1;2;2;""
-33;"GE";"GE-GK1";"--";3;"--";"GK";123456;1;"[]";1;2;1;""
-32;"LI";"LI-GK1";"--";3;"--";"GK";123456;1;"[]";1;1;1;""
-31;"MU";"MU-GK2";"--";3;"--";"GK";123456;1;"[]";1;2;2;""
-30;"MU";"MU-GK1";"--";3;"--";"GK";123456;1;"[]";1;2;1;""
-29;"KU";"KU-GK3";"--";3;"--";"GK";123456;1;"[]";1;3;3;""
-28;"KU";"KU-GK2";"--";3;"--";"GK";123456;1;"[]";1;3;2;""
-27;"KU";"KU-GK1";"--";3;"--";"GK";123456;1;"[]";1;3;1;""
-26;"S1";"S1-GK2";"--";3;"--";"GK";123456;1;"[]";1;2;2;""
-25;"S1";"S1-GK1";"--";3;"--";"GK";123456;1;"[]";1;2;1;""
-24;"L";"L-GK1";"--";3;"--";"GK";123456;1;"[]";1;1;1;""
-23;"F";"F-GK1";"--";3;"--";"GK";123456;1;"[]";1;1;1;""
-22;"E";"E-GK3";"--";3;"--";"GK";123456;1;"[]";1;3;3;""
-21;"E";"E-GK2";"--";3;"--";"GK";123456;1;"[]";1;3;2;""
-20;"E";"E-GK1";"--";3;"--";"GK";123456;1;"[]";1;3;1;""
-19;"D";"D-GK4";"--";3;"--";"GK";123456;1;"[]";1;4;4;""
-18;"D";"D-GK3";"--";3;"--";"GK";123456;1;"[]";1;4;3;""
-17;"D";"D-GK2";"--";3;"--";"GK";123456;1;"[]";1;4;2;""
-16;"D";"D-GK1";"--";3;"--";"GK";123456;1;"[]";1;4;1;""
